Maximum;0,09;@;No.6104;;;;;;
Minimum;-7,47;@;No.5961;;;;;;
Average;-6,142;;;;;;;;
Data Quantity;6422;;;;;;;;
Number of NG;0;;;;;;;;
No.;Force;Unit;Displacement;Unit;Judge;Position;Time;Date;
1697;-6,42;N;--;--;OK;--;21:21:59;08/07/2023;
1698;-6,42;N;--;--;OK;--;21:21:59;08/07/2023;
1699;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1700;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1701;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1702;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1703;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1704;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1705;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1706;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1707;-6,43;N;--;--;OK;--;21:22:00;08/07/2023;
1708;-6,42;N;--;--;OK;--;21:22:00;08/07/2023;
1709;-6,42;N;--;--;OK;--;21:22:01;08/07/2023;
1710;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1711;-6,42;N;--;--;OK;--;21:22:01;08/07/2023;
1712;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1713;-6,42;N;--;--;OK;--;21:22:01;08/07/2023;
1714;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1715;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1716;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1717;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1718;-6,43;N;--;--;OK;--;21:22:01;08/07/2023;
1719;-6,43;N;--;--;OK;--;21:22:02;08/07/2023;
1720;-6,43;N;--;--;OK;--;21:22:02;08/07/2023;
1721;-6,43;N;--;--;OK;--;21:22:02;08/07/2023;
1722;-6,43;N;--;--;OK;--;21:22:02;08/07/2023;
1723;-6,44;N;--;--;OK;--;21:22:02;08/07/2023;
1724;-6,44;N;--;--;OK;--;21:22:02;08/07/2023;
1725;-6,44;N;--;--;OK;--;21:22:02;08/07/2023;
1726;-6,44;N;--;--;OK;--;21:22:02;08/07/2023;
1727;-6,43;N;--;--;OK;--;21:22:02;08/07/2023;
1728;-6,44;N;--;--;OK;--;21:22:02;08/07/2023;
1729;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1730;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1731;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1732;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1733;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1734;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1735;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1736;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1737;-6,44;N;--;--;OK;--;21:22:03;08/07/2023;
1738;-6,45;N;--;--;OK;--;21:22:03;08/07/2023;
1739;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1740;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1741;-6,44;N;--;--;OK;--;21:22:04;08/07/2023;
1742;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1743;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1744;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1745;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1746;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1747;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1748;-6,45;N;--;--;OK;--;21:22:04;08/07/2023;
1749;-6,45;N;--;--;OK;--;21:22:05;08/07/2023;
1750;-6,45;N;--;--;OK;--;21:22:05;08/07/2023;
1751;-6,45;N;--;--;OK;--;21:22:05;08/07/2023;
1752;-6,45;N;--;--;OK;--;21:22:05;08/07/2023;
1753;-6,45;N;--;--;OK;--;21:22:05;08/07/2023;
1754;-6,45;N;--;--;OK;--;21:22:05;08/07/2023;
1755;-6,46;N;--;--;OK;--;21:22:05;08/07/2023;
1756;-6,46;N;--;--;OK;--;21:22:05;08/07/2023;
1757;-6,46;N;--;--;OK;--;21:22:05;08/07/2023;
1758;-6,46;N;--;--;OK;--;21:22:05;08/07/2023;
1759;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1760;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1761;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1762;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1763;-6,47;N;--;--;OK;--;21:22:06;08/07/2023;
1764;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1765;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1766;-6,47;N;--;--;OK;--;21:22:06;08/07/2023;
1767;-6,47;N;--;--;OK;--;21:22:06;08/07/2023;
1768;-6,46;N;--;--;OK;--;21:22:06;08/07/2023;
1769;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1770;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1771;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1772;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1773;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1774;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1775;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1776;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1777;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1778;-6,47;N;--;--;OK;--;21:22:07;08/07/2023;
1779;-6,47;N;--;--;OK;--;21:22:08;08/07/2023;
1780;-6,48;N;--;--;OK;--;21:22:08;08/07/2023;
1781;-6,47;N;--;--;OK;--;21:22:08;08/07/2023;
1782;-6,47;N;--;--;OK;--;21:22:08;08/07/2023;
1783;-6,48;N;--;--;OK;--;21:22:08;08/07/2023;
1784;-6,48;N;--;--;OK;--;21:22:08;08/07/2023;
1785;-6,47;N;--;--;OK;--;21:22:08;08/07/2023;
1786;-6,47;N;--;--;OK;--;21:22:08;08/07/2023;
1787;-6,47;N;--;--;OK;--;21:22:08;08/07/2023;
1788;-6,48;N;--;--;OK;--;21:22:08;08/07/2023;
1789;-6,47;N;--;--;OK;--;21:22:09;08/07/2023;
1790;-6,47;N;--;--;OK;--;21:22:09;08/07/2023;
1791;-6,46;N;--;--;OK;--;21:22:09;08/07/2023;
1792;-6,44;N;--;--;OK;--;21:22:09;08/07/2023;
1793;-6,43;N;--;--;OK;--;21:22:09;08/07/2023;
1794;-6,41;N;--;--;OK;--;21:22:09;08/07/2023;
1795;-6,41;N;--;--;OK;--;21:22:09;08/07/2023;
1796;-6,40;N;--;--;OK;--;21:22:09;08/07/2023;
1797;-6,38;N;--;--;OK;--;21:22:09;08/07/2023;
1798;-6,37;N;--;--;OK;--;21:22:09;08/07/2023;
1799;-6,36;N;--;--;OK;--;21:22:10;08/07/2023;
1800;-6,36;N;--;--;OK;--;21:22:10;08/07/2023;
1801;-6,36;N;--;--;OK;--;21:22:10;08/07/2023;
1802;-6,36;N;--;--;OK;--;21:22:10;08/07/2023;
1803;-6,36;N;--;--;OK;--;21:22:10;08/07/2023;
1804;-6,35;N;--;--;OK;--;21:22:10;08/07/2023;
1805;-6,35;N;--;--;OK;--;21:22:10;08/07/2023;
1806;-6,35;N;--;--;OK;--;21:22:10;08/07/2023;
1807;-6,35;N;--;--;OK;--;21:22:10;08/07/2023;
1808;-6,35;N;--;--;OK;--;21:22:10;08/07/2023;
1809;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1810;-6,36;N;--;--;OK;--;21:22:11;08/07/2023;
1811;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1812;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1813;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1814;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1815;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1816;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1817;-6,35;N;--;--;OK;--;21:22:11;08/07/2023;
1818;-6,36;N;--;--;OK;--;21:22:11;08/07/2023;
1819;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1820;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1821;-6,35;N;--;--;OK;--;21:22:12;08/07/2023;
1822;-6,35;N;--;--;OK;--;21:22:12;08/07/2023;
1823;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1824;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1825;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1826;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1827;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1828;-6,37;N;--;--;OK;--;21:22:12;08/07/2023;
1829;-6,36;N;--;--;OK;--;21:22:12;08/07/2023;
1830;-6,36;N;--;--;OK;--;21:22:13;08/07/2023;
1831;-6,36;N;--;--;OK;--;21:22:13;08/07/2023;
1832;-6,36;N;--;--;OK;--;21:22:13;08/07/2023;
1833;-6,36;N;--;--;OK;--;21:22:13;08/07/2023;
1834;-6,37;N;--;--;OK;--;21:22:13;08/07/2023;
1835;-6,37;N;--;--;OK;--;21:22:13;08/07/2023;
1836;-6,37;N;--;--;OK;--;21:22:13;08/07/2023;
1837;-6,36;N;--;--;OK;--;21:22:13;08/07/2023;
1838;-6,36;N;--;--;OK;--;21:22:13;08/07/2023;
1839;-6,35;N;--;--;OK;--;21:22:13;08/07/2023;
1840;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1841;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1842;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1843;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1844;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1845;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1846;-6,34;N;--;--;OK;--;21:22:14;08/07/2023;
1847;-6,35;N;--;--;OK;--;21:22:14;08/07/2023;
1848;-6,34;N;--;--;OK;--;21:22:14;08/07/2023;
1849;-6,34;N;--;--;OK;--;21:22:14;08/07/2023;
1850;-6,34;N;--;--;OK;--;21:22:15;08/07/2023;
1851;-6,34;N;--;--;OK;--;21:22:15;08/07/2023;
1852;-6,33;N;--;--;OK;--;21:22:15;08/07/2023;
1853;-6,34;N;--;--;OK;--;21:22:15;08/07/2023;
1854;-6,34;N;--;--;OK;--;21:22:15;08/07/2023;
1855;-6,33;N;--;--;OK;--;21:22:15;08/07/2023;
1856;-6,34;N;--;--;OK;--;21:22:15;08/07/2023;
1857;-6,33;N;--;--;OK;--;21:22:15;08/07/2023;
1858;-6,34;N;--;--;OK;--;21:22:15;08/07/2023;
1859;-6,33;N;--;--;OK;--;21:22:15;08/07/2023;
1860;-6,33;N;--;--;OK;--;21:22:16;08/07/2023;
1861;-6,33;N;--;--;OK;--;21:22:16;08/07/2023;
1862;-6,33;N;--;--;OK;--;21:22:16;08/07/2023;
1863;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1864;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1865;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1866;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1867;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1868;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1869;-6,34;N;--;--;OK;--;21:22:16;08/07/2023;
1870;-6,34;N;--;--;OK;--;21:22:17;08/07/2023;
1871;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1872;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1873;-6,34;N;--;--;OK;--;21:22:17;08/07/2023;
1874;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1875;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1876;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1877;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1878;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1879;-6,35;N;--;--;OK;--;21:22:17;08/07/2023;
1880;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1881;-6,34;N;--;--;OK;--;21:22:18;08/07/2023;
1882;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1883;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1884;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1885;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1886;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1887;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1888;-6,35;N;--;--;OK;--;21:22:18;08/07/2023;
1889;-6,36;N;--;--;OK;--;21:22:18;08/07/2023;
1890;-6,35;N;--;--;OK;--;21:22:19;08/07/2023;
1891;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1892;-6,35;N;--;--;OK;--;21:22:19;08/07/2023;
1893;-6,35;N;--;--;OK;--;21:22:19;08/07/2023;
1894;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1895;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1896;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1897;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1898;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1899;-6,36;N;--;--;OK;--;21:22:19;08/07/2023;
1900;-6,36;N;--;--;OK;--;21:22:20;08/07/2023;
1901;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1902;-6,36;N;--;--;OK;--;21:22:20;08/07/2023;
1903;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1904;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1905;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1906;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1907;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1908;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1909;-6,37;N;--;--;OK;--;21:22:20;08/07/2023;
1910;-6,37;N;--;--;OK;--;21:22:21;08/07/2023;
1911;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1912;-6,37;N;--;--;OK;--;21:22:21;08/07/2023;
1913;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1914;-6,37;N;--;--;OK;--;21:22:21;08/07/2023;
1915;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1916;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1917;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1918;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1919;-6,38;N;--;--;OK;--;21:22:21;08/07/2023;
1920;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1921;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1922;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1923;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1924;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1925;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1926;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1927;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1928;-6,39;N;--;--;OK;--;21:22:22;08/07/2023;
1929;-6,40;N;--;--;OK;--;21:22:22;08/07/2023;
1930;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1931;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1932;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1933;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1934;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1935;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1936;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1937;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1938;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1939;-6,40;N;--;--;OK;--;21:22:23;08/07/2023;
1940;-6,40;N;--;--;OK;--;21:22:24;08/07/2023;
1941;-6,40;N;--;--;OK;--;21:22:24;08/07/2023;
1942;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1943;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1944;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1945;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1946;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1947;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1948;-6,41;N;--;--;OK;--;21:22:24;08/07/2023;
1949;-6,42;N;--;--;OK;--;21:22:24;08/07/2023;
1950;-6,42;N;--;--;OK;--;21:22:25;08/07/2023;
1951;-6,41;N;--;--;OK;--;21:22:25;08/07/2023;
1952;-6,42;N;--;--;OK;--;21:22:25;08/07/2023;
1953;-6,42;N;--;--;OK;--;21:22:25;08/07/2023;
1954;-6,42;N;--;--;OK;--;21:22:25;08/07/2023;
1955;-6,42;N;--;--;OK;--;21:22:25;08/07/2023;
1956;-6,43;N;--;--;OK;--;21:22:25;08/07/2023;
1957;-6,42;N;--;--;OK;--;21:22:25;08/07/2023;
1958;-6,43;N;--;--;OK;--;21:22:25;08/07/2023;
1959;-6,43;N;--;--;OK;--;21:22:25;08/07/2023;
1960;-6,43;N;--;--;OK;--;21:22:26;08/07/2023;
1961;-6,43;N;--;--;OK;--;21:22:26;08/07/2023;
1962;-6,43;N;--;--;OK;--;21:22:26;08/07/2023;
1963;-6,43;N;--;--;OK;--;21:22:26;08/07/2023;
1964;-6,43;N;--;--;OK;--;21:22:26;08/07/2023;
1965;-6,44;N;--;--;OK;--;21:22:26;08/07/2023;
1966;-6,44;N;--;--;OK;--;21:22:26;08/07/2023;
1967;-6,43;N;--;--;OK;--;21:22:26;08/07/2023;
1968;-6,44;N;--;--;OK;--;21:22:26;08/07/2023;
1969;-6,44;N;--;--;OK;--;21:22:26;08/07/2023;
1970;-6,44;N;--;--;OK;--;21:22:27;08/07/2023;
1971;-6,44;N;--;--;OK;--;21:22:27;08/07/2023;
1972;-6,44;N;--;--;OK;--;21:22:27;08/07/2023;
1973;-6,44;N;--;--;OK;--;21:22:27;08/07/2023;
1974;-6,44;N;--;--;OK;--;21:22:27;08/07/2023;
1975;-6,45;N;--;--;OK;--;21:22:27;08/07/2023;
1976;-6,45;N;--;--;OK;--;21:22:27;08/07/2023;
1977;-6,45;N;--;--;OK;--;21:22:27;08/07/2023;
1978;-6,45;N;--;--;OK;--;21:22:27;08/07/2023;
1979;-6,45;N;--;--;OK;--;21:22:27;08/07/2023;
1980;-6,45;N;--;--;OK;--;21:22:28;08/07/2023;
1981;-6,45;N;--;--;OK;--;21:22:28;08/07/2023;
1982;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1983;-6,45;N;--;--;OK;--;21:22:28;08/07/2023;
1984;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1985;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1986;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1987;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1988;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1989;-6,46;N;--;--;OK;--;21:22:28;08/07/2023;
1990;-6,46;N;--;--;OK;--;21:22:29;08/07/2023;
1991;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1992;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1993;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1994;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1995;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1996;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1997;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
1998;-6,48;N;--;--;OK;--;21:22:29;08/07/2023;
1999;-6,47;N;--;--;OK;--;21:22:29;08/07/2023;
2000;-6,47;N;--;--;OK;--;21:22:30;08/07/2023;
2001;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2002;-6,47;N;--;--;OK;--;21:22:30;08/07/2023;
2003;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2004;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2005;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2006;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2007;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2008;-6,49;N;--;--;OK;--;21:22:30;08/07/2023;
2009;-6,48;N;--;--;OK;--;21:22:30;08/07/2023;
2010;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2011;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2012;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2013;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2014;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2015;-6,50;N;--;--;OK;--;21:22:31;08/07/2023;
2016;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2017;-6,49;N;--;--;OK;--;21:22:31;08/07/2023;
2018;-6,50;N;--;--;OK;--;21:22:31;08/07/2023;
2019;-6,50;N;--;--;OK;--;21:22:31;08/07/2023;
2020;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2021;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2022;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2023;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2024;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2025;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2026;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2027;-6,51;N;--;--;OK;--;21:22:32;08/07/2023;
2028;-6,51;N;--;--;OK;--;21:22:32;08/07/2023;
2029;-6,50;N;--;--;OK;--;21:22:32;08/07/2023;
2030;-6,51;N;--;--;OK;--;21:22:33;08/07/2023;
2031;-6,51;N;--;--;OK;--;21:22:33;08/07/2023;
2032;-6,51;N;--;--;OK;--;21:22:33;08/07/2023;
2033;-6,51;N;--;--;OK;--;21:22:33;08/07/2023;
2034;-6,51;N;--;--;OK;--;21:22:33;08/07/2023;
2035;-6,51;N;--;--;OK;--;21:22:33;08/07/2023;
2036;-6,52;N;--;--;OK;--;21:22:33;08/07/2023;
2037;-6,52;N;--;--;OK;--;21:22:33;08/07/2023;
2038;-6,52;N;--;--;OK;--;21:22:33;08/07/2023;
2039;-6,52;N;--;--;OK;--;21:22:33;08/07/2023;
2040;-6,52;N;--;--;OK;--;21:22:34;08/07/2023;
2041;-6,52;N;--;--;OK;--;21:22:34;08/07/2023;
2042;-6,52;N;--;--;OK;--;21:22:34;08/07/2023;
2043;-6,53;N;--;--;OK;--;21:22:34;08/07/2023;
2044;-6,52;N;--;--;OK;--;21:22:34;08/07/2023;
2045;-6,53;N;--;--;OK;--;21:22:34;08/07/2023;
2046;-6,53;N;--;--;OK;--;21:22:34;08/07/2023;
2047;-6,53;N;--;--;OK;--;21:22:34;08/07/2023;
2048;-6,53;N;--;--;OK;--;21:22:34;08/07/2023;
2049;-6,53;N;--;--;OK;--;21:22:34;08/07/2023;
2050;-6,53;N;--;--;OK;--;21:22:35;08/07/2023;
2051;-6,53;N;--;--;OK;--;21:22:35;08/07/2023;
2052;-6,53;N;--;--;OK;--;21:22:35;08/07/2023;
2053;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2054;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2055;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2056;-6,53;N;--;--;OK;--;21:22:35;08/07/2023;
2057;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2058;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2059;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2060;-6,54;N;--;--;OK;--;21:22:35;08/07/2023;
2061;-6,54;N;--;--;OK;--;21:22:36;08/07/2023;
2062;-6,54;N;--;--;OK;--;21:22:36;08/07/2023;
2063;-6,54;N;--;--;OK;--;21:22:36;08/07/2023;
2064;-6,55;N;--;--;OK;--;21:22:36;08/07/2023;
2065;-6,55;N;--;--;OK;--;21:22:36;08/07/2023;
2066;-6,55;N;--;--;OK;--;21:22:36;08/07/2023;
2067;-6,55;N;--;--;OK;--;21:22:36;08/07/2023;
2068;-6,55;N;--;--;OK;--;21:22:36;08/07/2023;
2069;-6,55;N;--;--;OK;--;21:22:36;08/07/2023;
2070;-6,55;N;--;--;OK;--;21:22:37;08/07/2023;
2071;-6,55;N;--;--;OK;--;21:22:37;08/07/2023;
2072;-6,55;N;--;--;OK;--;21:22:37;08/07/2023;
2073;-6,55;N;--;--;OK;--;21:22:37;08/07/2023;
2074;-6,55;N;--;--;OK;--;21:22:37;08/07/2023;
2075;-6,55;N;--;--;OK;--;21:22:37;08/07/2023;
2076;-6,56;N;--;--;OK;--;21:22:37;08/07/2023;
2077;-6,56;N;--;--;OK;--;21:22:37;08/07/2023;
2078;-6,56;N;--;--;OK;--;21:22:37;08/07/2023;
2079;-6,56;N;--;--;OK;--;21:22:37;08/07/2023;
2080;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2081;-6,56;N;--;--;OK;--;21:22:38;08/07/2023;
2082;-6,56;N;--;--;OK;--;21:22:38;08/07/2023;
2083;-6,56;N;--;--;OK;--;21:22:38;08/07/2023;
2084;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2085;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2086;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2087;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2088;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2089;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2090;-6,57;N;--;--;OK;--;21:22:38;08/07/2023;
2091;-6,57;N;--;--;OK;--;21:22:39;08/07/2023;
2092;-6,57;N;--;--;OK;--;21:22:39;08/07/2023;
2093;-6,57;N;--;--;OK;--;21:22:39;08/07/2023;
2094;-6,58;N;--;--;OK;--;21:22:39;08/07/2023;
2095;-6,57;N;--;--;OK;--;21:22:39;08/07/2023;
2096;-6,58;N;--;--;OK;--;21:22:39;08/07/2023;
2097;-6,58;N;--;--;OK;--;21:22:39;08/07/2023;
2098;-6,58;N;--;--;OK;--;21:22:39;08/07/2023;
2099;-6,57;N;--;--;OK;--;21:22:39;08/07/2023;
2100;-6,58;N;--;--;OK;--;21:22:39;08/07/2023;
2101;-6,58;N;--;--;OK;--;21:22:40;08/07/2023;
2102;-6,58;N;--;--;OK;--;21:22:40;08/07/2023;
2103;-6,58;N;--;--;OK;--;21:22:40;08/07/2023;
2104;-6,58;N;--;--;OK;--;21:22:40;08/07/2023;
2105;-6,59;N;--;--;OK;--;21:22:40;08/07/2023;
2106;-6,58;N;--;--;OK;--;21:22:40;08/07/2023;
2107;-6,59;N;--;--;OK;--;21:22:40;08/07/2023;
2108;-6,59;N;--;--;OK;--;21:22:40;08/07/2023;
2109;-6,59;N;--;--;OK;--;21:22:40;08/07/2023;
2110;-6,59;N;--;--;OK;--;21:22:40;08/07/2023;
2111;-6,59;N;--;--;OK;--;21:22:41;08/07/2023;
2112;-6,59;N;--;--;OK;--;21:22:41;08/07/2023;
2113;-6,59;N;--;--;OK;--;21:22:41;08/07/2023;
2114;-6,60;N;--;--;OK;--;21:22:41;08/07/2023;
2115;-6,60;N;--;--;OK;--;21:22:41;08/07/2023;
2116;-6,60;N;--;--;OK;--;21:22:41;08/07/2023;
